FID,ogc_fid,state,hospname,establishment_id,parent_id,unit,medicare_prov_number,address_line_1,address_line_2,remoteness_area_code,remoteness_area,number_of_available_beds,_2012_13_peer_group_code,_2012_13_peer_group_name,admissions_reported,emergency_department,elective_surgery_reported,outpatient_clinics,_2011_12_peer_group_code,_2011_12_peer_group_name,longitude,latitude,geocode_quality,geocode_type,wkb_geometry
aihw_hospital_statistics_2012_2013.1,1,NSW,Campbelltown,1171D2150,,Hospital,0012750W,1 Therry RD,Campbelltown 2560,0,Major Cities,334.7,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral,150.8943,-33.6624,ROOFTOP,premise,POINT (-33.6623628 150.8943321)
aihw_hospital_statistics_2012_2013.2,2,NSW,Sutherland,1172C2140,,Hospital,0010480W,430 Kingsway,Caringbah 2229,0,Major Cities,318.8,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral,151.114,-34.0373,ROOFTOP,establishment,POINT (-34.0373 151.114017)
aihw_hospital_statistics_2012_2013.3,3,NSW,Bulli,1173P2020,,Hospital,0010850H,33A Hospital RD,Bulli 2516,0,Major Cities,56.3,S1,Small public acute with surgery/obstetrics,Yes,Yes,Yes,No,D2,Small non-acute,151.2132,-33.8691,ROOFTOP,courthouse,POINT (-33.8690712 151.21315340000004)
aihw_hospital_statistics_2012_2013.4,4,NSW,Gosford,1177B2020,,Hospital,0011270X,76 Holden ST,Gosford 2250,0,Major Cities,478.3,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral,151.1255,-33.8934,ROOFTOP,premise,POINT (-33.8934143 151.1255073)
aihw_hospital_statistics_2012_2013.5,5,NSW,Quirindi,1180J2150,,Hospital,0011990J,42 Nowland ST,Quirindi 2343,2,Outer Regional,20,S2,Other small public acute,Yes,Yes,No,No,D1,Small regional acute,150.947,-33.7667,ROOFTOP,premise,POINT (-33.7667391 150.9469536)
aihw_hospital_statistics_2012_2013.6,6,NSW,Tamworth,1180J2160,,Hospital,0012090T,31 Dean ST,North Tamworth 2340,1,Inner Regional,246,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral,150.9249,-31.0729,ROOFTOP,establishment,POINT (-31.0728909 150.9249179)
aihw_hospital_statistics_2012_2013.7,7,NSW,Warialda (MPS),1180J2200,,Hospital,0012300Y,146 Long ST,Warialda 2402,2,Outer Regional,10.8,S2,Other small public acute,Yes,Yes,No,No,D1,Small regional acute,150.9371,-33.8454,ROOFTOP,establishment,POINT (-33.8454465 150.9370818)
aihw_hospital_statistics_2012_2013.8,8,NSW,Werris Creek,1180J2220,,Hospital,0012370H,22-34 North ST,Werris Creek 2341,1,Inner Regional,13.6,VS,Very small public,Yes,Yes,No,No,G,Un-peered and other,151.153,-33.8788,ROOFTOP,subpremise,POINT (-33.8787631 151.1530381)
aihw_hospital_statistics_2012_2013.9,9,NSW,Gloucester,1180J2240,,Hospital,0011250A,166 Church ST,Gloucester 2422,1,Inner Regional,19.5,S1,Small public acute with surgery/obstetrics,Yes,Yes,Yes,No,D1,Small regional acute,151.0046,-33.8113,ROOFTOP,establishment,POINT (-33.8112863 151.0045798)
aihw_hospital_statistics_2012_2013.10,10,NSW,Muswellbrook,1180Q2090,,Hospital,0010800W,36 Brentwood ST,Muswellbrook 2333,1,Inner Regional,47,S1,Small public acute with surgery/obstetrics,Yes,Yes,Yes,No,C2,Medium (group 2),150.9221,-33.861,ROOFTOP,street_address,POINT (-33.8609529 150.922081)
aihw_hospital_statistics_2012_2013.11,11,NSW,Scott Memorial Scone,1180Q2160,,Hospital,0012050A,24 Stafford ST,Scone 2337,1,Inner Regional,29,S1,Small public acute with surgery/obstetrics,Yes,Yes,Yes,No,D1,Small regional acute,151.229,-33.8836,ROOFTOP,street_address,POINT (-33.8835948 151.2290061)
aihw_hospital_statistics_2012_2013.12,12,NSW,Campbell Coraki,1181H2050,,Hospital,0010880A,1 Spring ST,Coraki 2471,1,Inner Regional,0.1,VS,Very small public,No,No,No,No,G,Un-peered and other,151.185,-33.7964,ROOFTOP,establishment,POINT (-33.796401 151.184963)
aihw_hospital_statistics_2012_2013.13,13,NSW,Casino,1181H2060,,Hospital,0010920J,1 Hotham ST,Casino 2470,1,Inner Regional,29.1,S1,Small public acute with surgery/obstetrics,Yes,Yes,Yes,No,C2,Medium (group 2),151.1952,-33.868,ROOFTOP,casino,POINT (-33.8679724 151.1952317)
aihw_hospital_statistics_2012_2013.14,14,NSW,Murwillumbah,1181H2210,,Hospital,0012210A,8 Ewing ST,Murwillumbah 2484,1,Inner Regional,70.8,S1,Small public acute with surgery/obstetrics,Yes,Yes,Yes,No,C1,Medium (group 1),150.2467,-30.995,ROOFTOP,premise,POINT (-30.9950088 150.246663)
aihw_hospital_statistics_2012_2013.15,15,NSW,Barham Koondrook,1184M2030,,Hospital,0010610A,70 Punt RD,Barham 2732,2,Outer Regional,18,S2,Other small public acute,Yes,No,No,No,D2,Small non-acute,151.7805,-32.916,ROOFTOP,establishment,POINT (-32.916047 151.7804825)
aihw_hospital_statistics_2012_2013.16,16,NSW,Corowa,1184M2060,,Hospital,0011080B,53 Guy ST,Corowa 2646,1,Inner Regional,50.5,S1,Small public acute with surgery/obstetrics,Yes,No,Yes,No,D1,Small regional acute,146.3834,-35.9936,ROOFTOP,street_address,POINT (-35.9935979 146.3834193)
aihw_hospital_statistics_2012_2013.17,17,NSW,Gundagai,1184R2060,,Hospital,0011360W,50 Tor ST,Gundagai 2722,1,Inner Regional,18.4,S2,Other small public acute,Yes,No,No,No,D2,Small non-acute,148.102,-35.0521,ROOFTOP,establishment,POINT (-35.052107 148.102021)
