FID,ogc_fid,education_sector,entity_type,school_no,school_name,school_type,school_status,_address_line_1,_address_line_2,address_town,address_state,address_postcode,_postal_address_line_1,_postal_address_line_2,postal_town,postal_state,postal_postcode,full_phone_no,lga_id,lga_name,x,y,wkb_geometry
vic_school_locations_2019.1,1,Government,1,1,Alberton Primary School,Primary,O,21 Thomson Street,,Alberton,VIC,3971,21 Thomson Street,,ALBERTON,VIC,3971,03 5183 2412,681,Wellington (S),146.6666,-38.6177,MULTIPOINT ((-38.61771300092026 146.666601))
vic_school_locations_2019.2,2,Government,1,3,Allansford and District Primary School,Primary,O,Frank Street,,Allansford,VIC,3277,Frank Street,,ALLANSFORD,VIC,3277,03 5565 1382,673,Warrnambool (C),142.5904,-38.3863,MULTIPOINT ((-38.38628100091855 142.590393))
vic_school_locations_2019.3,3,Government,1,4,Avoca Primary School,Primary,O,118 Barnett Street,,Avoca,VIC,3467,P O Box 12,,AVOCA,VIC,3467,03 5465 3176,599,Pyrenees (S),143.4756,-37.0845,MULTIPOINT ((-37.08450200090787 143.475649))
vic_school_locations_2019.4,4,Government,1,8,Avenel Primary School,Primary,O,40 Anderson Street,,Avenel,VIC,3664,40 Anderson Street,,AVENEL,VIC,3664,03 5796 2264,643,Strathbogie (S),145.2347,-36.9014,MULTIPOINT ((-36.90136800090621 145.234722))
vic_school_locations_2019.5,5,Government,1,12,Warrandyte Primary School,Primary,O,5-11 Forbes Street,,Warrandyte,VIC,3113,5-11 Forbes Street,,WARRANDYTE,VIC,3113,03 9844 3537,421,Manningham (C),145.214,-37.7427,MULTIPOINT ((-37.7426750009135 145.21397999999996))
vic_school_locations_2019.6,6,Government,1,26,Belmont Primary School,Primary,O,51 Mt Pleasant Road,,Belmont,VIC,3216,P O Box 471,,BELMONT,VIC,3216,03 5243 2972,275,Greater Geelong (C),144.3421,-38.1707,MULTIPOINT ((-38.170672000916916 144.342099))
vic_school_locations_2019.7,7,Government,1,28,Bacchus Marsh Primary School,Primary,O,56-62 Lerderderg Street,,Bacchus Marsh,VIC,3340,P O Box 334,,Bacchus Marsh,VIC,3340,03 5367 2745,515,Moorabool (S),144.4431,-37.673,MULTIPOINT ((-37.67302961091294 144.44312069999998))
vic_school_locations_2019.8,8,Government,1,33,Ballarat Primary School (Dana Street),Primary,O,401 Dana Street,,Ballarat,VIC,3350,401 Dana Street,,BALLARAT,VIC,3350,03 5332 1301,57,Ballarat (C),143.8539,-37.564,MULTIPOINT ((-37.56401278091202 143.85393599999998))
vic_school_locations_2019.9,9,Government,1,37,Wodonga Primary School,Primary,O,Brockley Street,,Wodonga,VIC,3690,PO Box 329,,WODONGA,VIC,3689,02 6048 0300,717,Wodonga (C),146.8898,-36.1292,MULTIPOINT ((-36.12921400089883 146.88982))
vic_school_locations_2019.10,10,Government,1,40,Berwick Primary School,Primary,O,37 Fairholme Boulevard,,Berwick,VIC,3806,37 Fairholme Boulevard,,Berwick,VIC,3806,03 9707 1026,161,Casey (C),145.3544,-38.0441,MULTIPOINT ((-38.04409400091593 145.354417))
vic_school_locations_2019.11,11,Government,1,60,Beaufort Primary School,Primary,O,2/37 Park Road,,Beaufort,VIC,3373,P O Box 18,,BEAUFORT,VIC,3373,03 5349 2490,599,Pyrenees (S),143.3817,-37.4385,MULTIPOINT ((-37.43852098091096 143.3817175))
vic_school_locations_2019.12,12,Government,1,84,Cheltenham Primary School,Primary,O,231 Charman Road,,Cheltenham,VIC,3192,231 Charman Road,,CHELTENHAM,VIC,3192,03 8585 3200,91,Bayside (C),145.0546,-37.9686,MULTIPOINT ((-37.96860800091533 145.054635))
vic_school_locations_2019.13,13,Government,1,105,Cudgee Primary School,Primary,O,3 Hallowells Road,,Cudgee,VIC,3265,3 Hallowells Road,,CUDGEE,VIC,3265,03 5567 6346,549,Moyne (S),142.6508,-38.3479,MULTIPOINT ((-38.34793800091827 142.650844))
vic_school_locations_2019.14,14,Government,1,113,Newport Lakes Primary School,Primary,O,Elizabeth Street,,Newport,VIC,3015,Elizabeth Street,,NEWPORT,VIC,3015,03 9391 8942,311,Hobsons Bay (C),144.8783,-37.8384,MULTIPOINT ((-37.838424000914294 144.87834499999997))
vic_school_locations_2019.15,15,Government,1,116,Cavendish Primary School,Primary,O,8-10 Barker Street,,Cavendish,VIC,3314,P O Box 28,,CAVENDISH,VIC,3314,03 5574 2282,626,Southern Grampians (S),142.0399,-37.5309,MULTIPOINT ((-37.53087000091174 142.039893))
vic_school_locations_2019.16,16,Government,1,117,Colac Primary School,Primary,O,53-65 Murray Street East,,Colac,VIC,3250,P O Box 325,,COLAC,VIC,3250,03 5231 2560,175,Colac-Otway (S),143.5983,-38.3372,MULTIPOINT ((-38.3372240009182 143.59833599999996))
